"id";"userID";"objectID";"visited_objects";"eventType";"eventValue";"position";"date"
"2845";"2661633";"5653";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:11"
"2846";"2661633";"6248";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:14"
"2847";"2661633";"3300";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:14"
"2848";"2661633";"6221";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:14"
"2849";"2661633";"6213";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:14"
"2850";"2661633";"6228";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:14"
"2851";"2661633";"5262";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:14"
"2852";"2661633";"6248";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:19"
"2853";"2661633";"3300";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:19"
"2854";"2661633";"6221";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:19"
"2855";"2661633";"6213";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:19"
"2856";"2661633";"6228";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:19"
"2857";"2661633";"5262";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:19"
"2858";"2661633";"6248";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:33"
"2859";"2661633";"3300";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:33"
"2860";"2661633";"6221";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:33"
"2861";"2661633";"6213";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:33"
"2862";"2661633";"6228";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:33"
"2863";"2661633";"5262";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:33"
"3287";"1853734";"74";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:24"
"3288";"1853734";"108";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:24"
"3289";"1853734";"5916";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:24"
"3290";"1853734";"707";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:24"
"3291";"1853734";"70";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:24"
"3292";"1853734";"90";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:24"
"3299";"1853734";"4911";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:34"
"3300";"1853734";"3787";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:34"
"3301";"1853734";"4788";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:34"
"3302";"1853734";"6155";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:34"
"3303";"1853734";"3782";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:34"
"3304";"1853734";"6224";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:34"
"3311";"1853734";"4911";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:38"
"3312";"1853734";"3787";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:38"
"3313";"1853734";"4788";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:38"
"3314";"1853734";"6155";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:38"
"3315";"1853734";"3782";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:38"
"3316";"1853734";"6224";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:38"
"3317";"1853734";"4911";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:42"
"3318";"1853734";"3787";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:42"
"3319";"1853734";"4788";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:42"
"3320";"1853734";"6155";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:42"
"3321";"1853734";"3782";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:42"
"3322";"1853734";"6224";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:42"
"3323";"1853734";"4911";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:46"
"3324";"1853734";"3787";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:46"
"3325";"1853734";"4788";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:46"
"3326";"1853734";"6155";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:46"
"3327";"1853734";"3782";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:46"
"3328";"1853734";"6224";"33";"object_shown_in_list";"1";"recomended";"2018-07-21 08:29:46"
"3329";"2692163";"5892";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:00"
"3330";"2692163";"6255";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:00"
"3331";"2692163";"6256";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:00"
"3332";"2692163";"5930";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:00"
"3333";"2692163";"5932";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:00"
"3334";"2692163";"5938";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:00"
"3335";"2692163";"5892";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:03"
"3336";"2692163";"6255";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:03"
"3337";"2692163";"6256";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:03"
"3338";"2692163";"5930";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:03"
"3339";"2692163";"5932";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:03"
"3340";"2692163";"5938";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:03"
"3341";"2692163";"5892";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:15"
"3342";"2692163";"6255";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:15"
"3343";"2692163";"6256";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:15"
"3344";"2692163";"5930";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:15"
"3345";"2692163";"5932";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:15"
"3346";"2692163";"5938";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:15"
"3347";"2692163";"6256";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:22"
"3348";"2692163";"6255";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:22"
"3349";"2692163";"5892";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:22"
"3350";"2692163";"5930";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:22"
"3351";"2692163";"5932";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:22"
"3352";"2692163";"5938";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:22"
"3353";"2692163";"6256";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:23"
"3354";"2692163";"6255";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:23"
"3355";"2692163";"5892";"17";"object_shown_in_list";"1";"recomended";"2018-07-21 08:31:23"
